"Label (Grouping)","Alabama!!Estimate","Alabama!!Percent","Alaska!!Estimate","Alaska!!Percent","Arizona!!Estimate","Arizona!!Percent","Arkansas!!Estimate","Arkansas!!Percent","California!!Estimate","California!!Percent","Colorado!!Estimate","Colorado!!Percent","Connecticut!!Estimate","Connecticut!!Percent","Delaware!!Estimate","Delaware!!Percent","District of Columbia!!Estimate","District of Columbia!!Percent","Florida!!Estimate","Florida!!Percent","Georgia!!Estimate","Georgia!!Percent","Hawaii!!Estimate","Hawaii!!Percent","Idaho!!Estimate","Idaho!!Percent","Illinois!!Estimate","Illinois!!Percent","Indiana!!Estimate","Indiana!!Percent","Iowa!!Estimate","Iowa!!Percent","Kansas!!Estimate","Kansas!!Percent","Kentucky!!Estimate","Kentucky!!Percent","Louisiana!!Estimate","Louisiana!!Percent","Maine!!Estimate","Maine!!Percent","Maryland!!Estimate","Maryland!!Percent","Massachusetts!!Estimate","Massachusetts!!Percent","Michigan!!Estimate","Michigan!!Percent","Minnesota!!Estimate","Minnesota!!Percent","Mississippi!!Estimate","Mississippi!!Percent","Missouri!!Estimate","Missouri!!Percent","Montana!!Estimate","Montana!!Percent","Nebraska!!Estimate","Nebraska!!Percent","Nevada!!Estimate","Nevada!!Percent","New Hampshire!!Estimate","New Hampshire!!Percent","New Jersey!!Estimate","New Jersey!!Percent","New Mexico!!Estimate","New Mexico!!Percent","New York!!Estimate","New York!!Percent","North Carolina!!Estimate","North Carolina!!Percent","North Dakota!!Estimate","North Dakota!!Percent","Ohio!!Estimate","Ohio!!Percent","Oklahoma!!Estimate","Oklahoma!!Percent","Oregon!!Estimate","Oregon!!Percent","Pennsylvania!!Estimate","Pennsylvania!!Percent","Rhode Island!!Estimate","Rhode Island!!Percent","South Carolina!!Estimate","South Carolina!!Percent","South Dakota!!Estimate","South Dakota!!Percent","Tennessee!!Estimate","Tennessee!!Percent","Texas!!Estimate","Texas!!Percent","Utah!!Estimate","Utah!!Percent","Vermont!!Estimate","Vermont!!Percent","Virginia!!Estimate","Virginia!!Percent","Washington!!Estimate","Washington!!Percent","West Virginia!!Estimate","West Virginia!!Percent","Wisconsin!!Estimate","Wisconsin!!Percent","Wyoming!!Estimate","Wyoming!!Percent","Puerto Rico!!Estimate","Puerto Rico!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","5,074,296","5,074,296","733,583","733,583","7,359,197","7,359,197","3,045,637","3,045,637","39,029,342","39,029,342","5,839,926","5,839,926","3,626,205","3,626,205","1,018,396","1,018,396","671,803","671,803","22,244,823","22,244,823","10,912,876","10,912,876","1,440,196","1,440,196","1,939,033","1,939,033","12,582,032","12,582,032","6,833,037","6,833,037","3,200,517","3,200,517","2,937,150","2,937,150","4,512,310","4,512,310","4,590,241","4,590,241","1,385,340","1,385,340","6,164,660","6,164,660","6,981,974","6,981,974","10,034,118","10,034,118","5,717,184","5,717,184","2,940,057","2,940,057","6,177,957","6,177,957","1,122,867","1,122,867","1,967,923","1,967,923","3,177,772","3,177,772","1,395,231","1,395,231","9,261,699","9,261,699","2,113,344","2,113,344","19,677,151","19,677,151","10,698,973","10,698,973","779,261","779,261","11,756,058","11,756,058","4,019,800","4,019,800","4,240,137","4,240,137","12,972,008","12,972,008","1,093,734","1,093,734","5,282,634","5,282,634","909,824","909,824","7,051,339","7,051,339","30,029,572","30,029,572","3,380,800","3,380,800","647,064","647,064","8,683,619","8,683,619","7,785,786","7,785,786","1,775,156","1,775,156","5,892,539","5,892,539","581,381","581,381","3,221,789","3,221,789"
"        Male","2,461,248","48.5%","385,667","52.6%","3,678,381","50.0%","1,504,488","49.4%","19,536,425","50.1%","2,960,896","50.7%","1,776,689","49.0%","494,657","48.6%","319,763","47.6%","10,953,468","49.2%","5,323,951","48.8%","725,309","50.4%","976,925","50.4%","6,229,035","49.5%","3,392,667","49.7%","1,607,659","50.2%","1,473,791","50.2%","2,233,158","49.5%","2,248,146","49.0%","684,557","49.4%","3,004,117","48.7%","3,419,487","49.0%","4,979,089","49.6%","2,869,638","50.2%","1,426,689","48.5%","3,046,351","49.3%","567,273","50.5%","988,837","50.2%","1,599,922","50.3%","696,786","49.9%","4,564,704","49.3%","1,047,785","49.6%","9,628,899","48.9%","5,229,792","48.9%","398,845","51.2%","5,810,211","49.4%","2,004,195","49.9%","2,121,651","50.0%","6,399,830","49.3%","535,841","49.0%","2,569,909","48.6%","462,457","50.8%","3,462,618","49.1%","15,021,141","50.0%","1,716,117","50.8%","320,698","49.6%","4,299,314","49.5%","3,930,411","50.5%","882,101","49.7%","2,958,771","50.2%","297,855","51.2%","1,528,789","47.5%"
"        Female","2,613,048","51.5%","347,916","47.4%","3,680,816","50.0%","1,541,149","50.6%","19,492,917","49.9%","2,879,030","49.3%","1,849,516","51.0%","523,739","51.4%","352,040","52.4%","11,291,355","50.8%","5,588,925","51.2%","714,887","49.6%","962,108","49.6%","6,352,997","50.5%","3,440,370","50.3%","1,592,858","49.8%","1,463,359","49.8%","2,279,152","50.5%","2,342,095","51.0%","700,783","50.6%","3,160,543","51.3%","3,562,487","51.0%","5,055,029","50.4%","2,847,546","49.8%","1,513,368","51.5%","3,131,606","50.7%","555,594","49.5%","979,086","49.8%","1,577,850","49.7%","698,445","50.1%","4,696,995","50.7%","1,065,559","50.4%","10,048,252","51.1%","5,469,181","51.1%","380,416","48.8%","5,945,847","50.6%","2,015,605","50.1%","2,118,486","50.0%","6,572,178","50.7%","557,893","51.0%","2,712,725","51.4%","447,367","49.2%","3,588,721","50.9%","15,008,431","50.0%","1,664,683","49.2%","326,366","50.4%","4,384,305","50.5%","3,855,375","49.5%","893,055","50.3%","2,933,768","49.8%","283,526","48.8%","1,693,000","52.5%"
"        Sex ratio (males per 100 females)","94.2","(X)","110.9","(X)","99.9","(X)","97.6","(X)","100.2","(X)","102.8","(X)","96.1","(X)","94.4","(X)","90.8","(X)","97.0","(X)","95.3","(X)","101.5","(X)","101.5","(X)","98.0","(X)","98.6","(X)","100.9","(X)","100.7","(X)","98.0","(X)","96.0","(X)","97.7","(X)","95.1","(X)","96.0","(X)","98.5","(X)","100.8","(X)","94.3","(X)","97.3","(X)","102.1","(X)","101.0","(X)","101.4","(X)","99.8","(X)","97.2","(X)","98.3","(X)","95.8","(X)","95.6","(X)","104.8","(X)","97.7","(X)","99.4","(X)","100.1","(X)","97.4","(X)","96.0","(X)","94.7","(X)","103.4","(X)","96.5","(X)","100.1","(X)","103.1","(X)","98.3","(X)","98.1","(X)","101.9","(X)","98.8","(X)","100.9","(X)","105.1","(X)","90.3","(X)"
"        Under 5 years","284,064","5.6%","46,497","6.3%","393,413","5.3%","177,765","5.8%","2,118,386","5.4%","305,063","5.2%","178,453","4.9%","54,058","5.3%","39,035","5.8%","1,101,350","5.0%","621,126","5.7%","78,927","5.5%","111,816","5.8%","674,211","5.4%","399,031","5.8%","180,010","5.6%","176,673","6.0%","260,433","5.8%","270,937","5.9%","61,018","4.4%","349,193","5.7%","342,252","4.9%","536,805","5.3%","328,095","5.7%","169,303","5.8%","349,648","5.7%","57,024","5.1%","121,107","6.2%","172,575","5.4%","62,666","4.5%","513,333","5.5%","104,994","5.0%","1,055,455","5.4%","584,492","5.5%","47,844","6.1%","661,196","5.6%","240,173","6.0%","199,584","4.7%","668,734","5.2%","51,955","4.8%","281,426","5.3%","57,246","6.3%","402,215","5.7%","1,881,718","6.3%","228,464","6.8%","27,875","4.3%","481,682","5.5%","421,722","5.4%","87,469","4.9%","309,244","5.2%","30,444","5.2%","99,432","3.1%"
"        5 to 9 years","311,592","6.1%","49,637","6.8%","438,358","6.0%","196,453","6.5%","2,285,436","5.9%","324,472","5.6%","195,805","5.4%","57,518","5.6%","37,268","5.5%","1,162,982","5.2%","683,215","6.3%","82,233","5.7%","127,781","6.6%","735,342","5.8%","439,398","6.4%","200,720","6.3%","186,340","6.3%","281,095","6.2%","287,552","6.3%","69,458","5.0%","373,075","6.1%","359,840","5.2%","571,751","5.7%","363,889","6.4%","176,516","6.0%","375,656","6.1%","62,553","5.6%","130,922","6.7%","192,523","6.1%","68,161","4.9%","533,608","5.8%","123,352","5.8%","1,070,033","5.4%","621,266","5.8%","52,217","6.7%","691,486","5.9%","262,609","6.5%","229,279","5.4%","719,322","5.5%","53,959","4.9%","309,601","5.9%","59,977","6.6%","422,122","6.0%","2,070,802","6.9%","253,833","7.5%","30,605","4.7%","507,493","5.8%","464,035","6.0%","96,217","5.4%","333,686","5.7%","37,271","6.4%","133,195","4.1%"
"        10 to 14 years","318,523","6.3%","51,178","7.0%","463,552","6.3%","200,389","6.6%","2,550,172","6.5%","360,878","6.2%","217,577","6.0%","59,905","5.9%","31,558","4.7%","1,260,197","5.7%","741,043","6.8%","88,272","6.1%","139,762","7.2%","808,148","6.4%","445,513","6.5%","207,426","6.5%","203,412","6.9%","284,053","6.3%","313,246","6.8%","70,100","5.1%","387,050","6.3%","386,696","5.5%","615,180","6.1%","368,761","6.5%","205,864","7.0%","394,409","6.4%","72,960","6.5%","137,862","7.0%","200,260","6.3%","70,890","5.1%","585,993","6.3%","141,184","6.7%","1,161,685","5.9%","678,318","6.3%","51,533","6.6%","747,870","6.4%","282,676","7.0%","250,140","5.9%","761,677","5.9%","59,764","5.5%","327,157","6.2%","63,989","7.0%","439,813","6.2%","2,173,132","7.2%","278,120","8.2%","34,125","5.3%","544,175","6.3%","473,406","6.1%","102,819","5.8%","369,101","6.3%","38,701","6.7%","170,757","5.3%"
"        15 to 19 years","340,067","6.7%","44,794","6.1%","487,734","6.6%","203,500","6.7%","2,568,788","6.6%","369,814","6.3%","245,675","6.8%","62,893","6.2%","36,668","5.5%","1,275,398","5.7%","762,949","7.0%","77,574","5.4%","138,308","7.1%","820,510","6.5%","474,821","6.9%","221,129","6.9%","207,208","7.1%","293,874","6.5%","306,657","6.7%","74,870","5.4%","389,324","6.3%","454,230","6.5%","643,459","6.4%","373,716","6.5%","215,884","7.3%","410,378","6.6%","69,694","6.2%","142,514","7.2%","193,726","6.1%","85,585","6.1%","576,961","6.2%","144,717","6.8%","1,198,745","6.1%","704,046","6.6%","55,008","7.1%","757,937","6.4%","283,637","7.1%","257,747","6.1%","841,351","6.5%","73,740","6.7%","347,645","6.6%","62,422","6.9%","446,948","6.3%","2,160,735","7.2%","277,956","8.2%","43,011","6.6%","569,202","6.6%","457,060","5.9%","111,760","6.3%","385,002","6.5%","38,287","6.6%","197,196","6.1%"
"        20 to 24 years","345,126","6.8%","52,259","7.1%","522,484","7.1%","209,906","6.9%","2,639,787","6.8%","395,695","6.8%","243,507","6.7%","59,981","5.9%","48,043","7.2%","1,340,486","6.0%","771,563","7.1%","89,347","6.2%","141,188","7.3%","850,982","6.8%","489,814","7.2%","231,721","7.2%","218,626","7.4%","301,356","6.7%","315,728","6.9%","79,753","5.8%","379,802","6.2%","491,572","7.0%","687,971","6.9%","364,158","6.4%","209,168","7.1%","411,856","6.7%","75,198","6.7%","135,424","6.9%","194,836","6.1%","83,149","6.0%","569,581","6.1%","145,968","6.9%","1,298,992","6.6%","738,731","6.9%","57,873","7.4%","766,640","6.5%","289,564","7.2%","259,457","6.1%","829,180","6.4%","76,125","7.0%","351,883","6.7%","60,455","6.6%","472,131","6.7%","2,145,802","7.1%","299,515","8.9%","43,805","6.8%","602,285","6.9%","499,354","6.4%","114,325","6.4%","407,006","6.9%","36,882","6.3%","216,771","6.7%"
